4476944
/m/0c4mf5
/m/0c4mf5
Robert Reed

10 1
a 9
about 1
after 2
almost 1
and 5
around 1
at 1
being 1
between 2
born 2
boy 2
but 1
catastrophic 1
certain 1
child 1
chosen 1
cold 1
competitive 1
death 1
destroyed 1
destroyer 1
destruction 1
directions 1
drive 1
each 2
earth 1
erupt 1
exhaustive 1
extensive 1
families 3
family 3
follow 1
for 1
forced 1
forces 1
friends 1
from 4
galactic 1
galaxy 1
god 1
godlike 1
gods 1
growing 1
had 1
he 2
himself 1
his 2
human 1
humanity 3
humans 1
hunted 1
improve 1
in 2
individuals 1
into 1
is 2
its 1
itself 1
like 1
million 1
most 1
must 1
now 1
number 1
of 6
on 1
one 2
or 1
permitted 1
planet 1
playing 2
powers 2
predisposed 1
psychological 1
retain 1
role 1
save 1
saviour 1
scale 1
selected 1
selection 1
semigod 1
service 1
small 2
stake 1
still 1
story 1
subset 1
tendencies 1
tensions 1
that 1
the 6
these 2
threaten 1
to 4
travels 1
universe 1
unleashes 1
up 1
vetting 1
vilified 1
war 3
was 1
were 2
when 1
which 1
with 2
withdrawn 1
work 1
years 1
young 1
