10596211
/m/02qjsyl
/m/02qjsyl
Tom Perrotta
1998-03-09
12 1
a 7
affair 1
after 1
against 1
ambitious 1
amidst 1
an 1
and 4
approves 1
are 1
as 3
assume 1
be 2
begins 1
but 1
by 1
campaign 1
car 1
career 1
centers 1
classmates 1
current 1
dating 1
dealership 1
down 1
election 2
elections 1
ends 2
exgirlfriend 1
feeling 1
flick 1
for 1
former 1
found 1
girl 1
had 1
has 1
he 2
heated 1
her 5
high 1
his 2
however 1
in 6
intelligent 1
is 5
it 1
jersey 1
job 1
learns 1
lesbian 1
losing 1
m 3
making 1
manipulative 1
marriage 1
mother 1
mr 3
needs 1
new 1
not 1
notch 1
novel 2
now 1
of 4
on 1
one 1
outcast 1
part 1
paul 4
perfect 1
place 1
pocketing 1
preparing 1
presidency 1
president 2
presidential 1
prompts 1
quite 1
reckless 1
relationship 1
retaliation 1
ruined 1
run 1
sabotaged 1
school 3
sexual 1
she 2
sister 1
story 1
student 1
students 1
suburban 1
taken 1
takes 1
taking 1
tammy 1
teacher 2
teachers 1
that 4
the 8
their 2
then 1
to 5
told 1
tracy 6
turn 1
ultimately 1
unpopular 1
up 1
us 1
very 1
vote 1
votes 1
warren 1
were 1
when 1
where 1
who 1
whom 1
winner 1
winning 1
with 2
working 1
year 1
